scale,item_idx,source_id,gold_letter,n_options,condition,pred_letter,correct,answer_text,first_token_entropy_nats,per_token_entropy_mean_nats,perplexity_5tok,search_status,mean_search_reward,best_search_reward,mean_terminal_entropy_nats,best_path_json,n_paths_evaluated,n_apply_failures
1B,0,Mercury_417466,A,4,G,A,1,A.,1.3545939922332764,0.8961204886436462,1.3626791065827109,n/a,,,,,,
1B,0,Mercury_417466,A,4,R,A,1,A,1.5658010244369507,1.3090373277664185,4.58844538987753,ok,0.3955095651236136,0.9845470022353003,1.456347072565997,"[0.5,0.1,0.1]",27,0
1B,0,Mercury_417466,A,4,E,A,1,A.,1.3333858251571655,0.9937819540500641,1.3626791065827109,ok,-0.12574640101180717,-0.1133628030054119,1.4790019503346197,"[1.0,0.5,1.0]",27,0
1B,1,Mercury_7081673,B,4,G,A,0,A. B,1.1197158098220825,0.9490009658038616,1.6208227467346132,n/a,,,,,,
1B,1,Mercury_7081673,B,4,R,A,0,A. safety goggles,1.0777548551559448,0.8917822390794754,1.615443990053996,ok,0.47002245172500984,0.957645371169233,1.0165980060895283,"[1.0,0.1,0.1]",27,0
1B,1,Mercury_7081673,B,4,E,A,0,A. safety goggles,0.8590385913848877,0.9036175847053528,1.615443990053996,ok,-0.08863680119800563,-0.073036422414766,1.042526869862168,"[1.0,1.0,1.0]",27,0
1B,2,Mercury_7239733,D,4,G,A,0,A. B,1.3710236549377441,1.0156117053702474,1.5952729668844121,n/a,,,,,,
1B,2,Mercury_7239733,D,4,R,A,0,A. brain cells,1.6366658210754395,0.9353643611073494,1.9871515295296038,ok,0.5169164229271753,0.9771720894667464,1.470624733854223,"[0.1,0.1,0.1]",27,0
1B,2,Mercury_7239733,D,4,E,A,0,A. B,1.3275799751281738,1.197536863386631,1.5952729668844121,ok,-0.1234898709596265,-0.11287233521899213,1.4524611322968095,"[1.0,1.0,1.0]",27,0
1B,3,NYSEDREGENTS_2015_4_8,D,4,G,B,0,B,1.4147694110870361,1.0910350382328033,2.4695458243105324,n/a,,,,,,
1B,3,NYSEDREGENTS_2015_4_8,D,4,R,D,1,D,1.4470325708389282,1.1987929344177246,3.054251064727507,ok,0.5063646769479164,0.9428414855558076,1.4179592971448545,"[0.5,0.5,0.1]",27,0
1B,3,NYSEDREGENTS_2015_4_8,D,4,E,A,0,A,1.3633437156677246,1.1195465922355652,12.501379906589955,ok,-0.12146512599875392,-0.11591300846391321,1.4286465203320537,"[0.5,1.0,1.0]",27,0
1B,4,Mercury_7037258,B,4,G,A,0,A.,1.3349355459213257,0.9981513619422913,1.565194483711382,n/a,,,,,,
1B,4,Mercury_7037258,B,4,R,A,0,A,1.393120527267456,1.1745921671390533,3.068007243527043,ok,0.5761274121027804,0.9588684607146585,1.4682844524030332,"[0.5,0.5,1.0]",27,0
1B,4,Mercury_7037258,B,4,E,A,0,A,1.2898045778274536,1.079433113336563,3.068007243527043,ok,-0.12321449316125241,-0.10930840646883272,1.4492221982390792,"[1.0,1.0,1.0]",27,0
1B,5,CSZ20679,C,4,G,A,0,A. C,1.4100548028945923,1.1493664905428886,1.7871294392028672,n/a,,,,,,
1B,5,CSZ20679,C,4,R,A,0,A. meter.,1.3644880056381226,1.2172016724944115,3.9992531977828776,ok,0.42160208911798136,0.9332133123079244,1.368613190121121,"[0.1,0.5,1.0]",27,0
1B,5,CSZ20679,C,4,E,A,0,A. meter.,1.1983343362808228,1.2277570486068725,3.9992531977828776,ok,-0.11789077927892971,-0.10188372636161422,1.3866058278966833,"[1.0,1.0,1.0]",27,0
1B,6,Mercury_182158,A,4,G,A,1,A. wash hands,1.313104510307312,0.5759182810783386,1.3262884028534816,n/a,,,,,,
1B,6,Mercury_182158,A,4,R,A,1,A. wash hands,1.2335814237594604,0.7502593897283077,1.3262884028534816,ok,0.48025452743871083,0.8946013552873125,1.2437131228270355,"[0.5,0.5,1.0]",27,0
1B,6,Mercury_182158,A,4,E,A,1,A. wash hands,1.1923933029174805,0.7574747011065484,1.3262884028534816,ok,-0.10484582695123976,-0.10137861305627859,1.233173922256187,"[1.0,0.5,1.0]",27,0
1B,7,Mercury_7216668,C,4,G,A,0,A. meters,1.6586345434188843,1.2667203545570374,1.8639993877345065,n/a,,,,,,
1B,7,Mercury_7216668,C,4,R,A,0,A/B,1.5812427997589111,1.8825595378875732,2.155615056762458,ok,0.4753125686154979,0.9503686156558309,1.5338704895090174,"[0.1,0.1,1.0]",27,0
1B,7,Mercury_7216668,C,4,E,A,0,A/B,1.1747684478759766,1.7026110490163167,2.155615056762458,ok,-0.12972365171911668,-0.09915574761468088,1.525781512260437,"[1.0,1.0,1.0]",27,0
1B,8,MCAS_2001_5_19,C,4,G,A,0,A. soil.,1.2613705396652222,1.0529491312801837,1.460329465635084,n/a,,,,,,
1B,8,MCAS_2001_5_19,C,4,R,A,0,A. soil.,0.9946858882904053,0.8123081430792809,1.460329465635084,ok,0.5502235617962952,0.9979721961607877,0.9905498623847961,"[0.5,0.1,1.0]",27,0
1B,8,MCAS_2001_5_19,C,4,E,A,0,A. soil.,0.8723576664924622,0.8406691223382949,1.460329465635084,ok,-0.08357748031795209,-0.07411609615042793,0.9830202327834235,"[1.0,1.0,0.5]",27,0
1B,9,Mercury_SC_413631,A,4,G,A,1,A.,1.5001447200775146,1.3581997156143188,1.8360980780869955,n/a,,,,,,
1B,9,Mercury_SC_413631,A,4,R,A,1,A.,1.5298572778701782,1.488699694474538,1.8360980780869955,ok,0.4987238402510679,0.9134583200661487,1.5441123556207728,"[0.5,0.5,1.0]",27,0
